Corps,General Effect,Visual,Music,Total
Santa Clara Vanguard,39.525,29.650,29.450,98.625
Blue Devils,39.025,29.250,29.075,97.350
Bluecoats,39.050,29.225,28.675,96.950
Carolina Crown,38.200,28.325,28.975,95.500
Boston Crusaders,37.475,28.675,28.163,94.313
The Cavaliers,37.350,28.025,27.838,93.213
The Cadets,36.650,27.900,27.675,92.225
Blue Stars,36.025,27.350,26.675,90.050
Blue Knights,35.525,26.375,27.025,88.925
Mandarins,35.500,26.850,25.800,88.150
Phantom Regiment,34.850,26.000,26.100,86.950
Crossmen,34.850,26.150,25.750,86.750
